Imagen;Descripción;Autor;Colección
Leptom001;Hábito;Delgado & León (2013);YLV 15/2012/04 (MERC)
Leptom002;Filidio;Delgado & León (2013);YLV 15/2012/04 (MERC)
Leptom003;Ápice del filidio;Delgado & León (2013);YLV 15/2012/04 (MERC)
Leptom004;Base del filidio;Delgado & León (2013);YLV 15/2012/04 (MERC)
Leptom005;Células medias del filidio;Delgado & León (2013);YLV 15/2012/04 (MERC)
Leptom006;Sección transversal del filidio;Delgado & León (2013);YLV 15/2012/04 (MERC)
Leptom007;Sección transversal del filidio. Detalle costa;Delgado & León (2013);YLV 15/2012/04 (MERC)
Leptom008;Hábito;Frahm 1996;
