Imagen;Descripcion;Autor;Coleccion
Camlut001;Corte transversal de la zona basal del filidio;Ussher 2003;Ussher et al. 9905-206 (MERC)
Camlut002;Corte transversal de la zona basal del filidio;Ussher 2003;Ussher et al. 9905-206 (MERC)
Camlut003;Corte transversal de la zona basal del filidio;Ussher 2003;Ussher et al. 9905-206 (MERC)
Camlut004;Campylopus luteus (Müll. Hal.) Paris.  a. y b.  Cortes transversales de la zona basal del filidio;Ussher 2003;Ussher et al. 9905-206 (MERC)
