Imagen;Descripcion;Autor;Colección
Brebri001;Ramas;Ussher 2003;Ussher et al. 9905-219
Brebri002;Zona apical y zona basal del filidio;Ussher 2003;Ussher et al. 9905-219
Brebri003;Células y papilas de la zona medial de la lámina ;Ussher 2003;Ussher et al. 9905-219
Brebri004;Disposición de las hojas sobre el caulidio;Ussher 2003;Ussher et al. 9905-219
Brebri005;"Breutelia brittoniae Renauld & Cardot  a. Hábito; b. Disposición de los filidios sobre el caulidio; c. y d. Ramas; e. Zona apical y zona basal de los filidios; f. Células y papilas de la zona medial de la lámina";Ussher 2003;Ussher et al. 9905-219
