Imagen;Descripcion;Autor;Coleccion
Bryalg001;Hábito;Ussher 2003;Ussher & Aguirre 9904-111
Bryalg002;Ramas;Ussher 2003;Ussher & Aguirre 9904-111
Bryalg003;Filidio;Ussher 2003;Ussher & Aguirre 9904-111
Bryalg004;Células, costa y borde la zona medial del filidio;Ussher 2003;Ussher & Aguirre 9904-111
Bryalg005;Células del borde del filidio;Ussher 2003;Ussher & Aguirre 9904-111
Bryalg006;"Bryum algovicum Sendtn. ex. Müll. Hall  a. Hábito; b. Rama; c. Filidio; d. Células, costa y borde de la zona medial del filidio; e. Células del borde del filidio.";Ussher 2003;Ussher & Aguirre 9904-111
