Imagen;Descripción;Autor;Colección
Funhyg001;Gametofito y esporofito;Ussher 2003;Ussher & Aguirre 9904-124 (MERC)
Funhyg002;Zona apical del filidio;Ussher 2003;Ussher & Aguirre 9904-124 (MERC)
Funhyg003;Células apicales, costa y borde;Ussher 2003;Ussher & Aguirre 9904-124 (MERC)
Funhyg004;Células basales de la lámina;Ussher 2003;Ussher & Aguirre 9904-124 (MERC)
Funhyg005;Células mediales y células del borde de la lámina;Ussher 2003;Ussher & Aguirre 9904-124 (MERC)
Funhyg006;"Funaria hygrométrica Hedw. a. Gametofito y esporofito; b. Filidio; c. Zona apical del filidio; d. Zona basal del filidio; e. Células apicales, costa y borde; f. Células mediales y células del borde de la lámina; g. Células basales de la lámina";Ussher 2003;Ussher & Aguirre 9904-124 (MERC)
