Imagen;Descripción;Autor;Colección
Lepsca001;Rama;Ussher 2003;Ussher & Perdomo 0008-336 (MERC)
Lepsca002;Zona apical de la rama;Ussher 2003;Ussher & Perdomo 0008-336 (MERC)
Lepsca003;Filidios;Ussher 2003;Ussher & Perdomo 0008-336 (MERC)
Lepsca004;Zona basal del filidio;Ussher 2003;Ussher & Perdomo 0008-336 (MERC)
Lepsca005;Zona apical del filidio;Ussher 2003;Ussher & Perdomo 0008-336 (MERC)
Lepsca006;Células mediales de la lámina;Ussher 2003;Ussher & Perdomo 0008-336 (MERC)
Lepsca007;"Lepidopilum scabrisetum (Schwägr.) Steere  a. Rama; b. Zona apical de la rama; c. Zona basal del filidio; d. Zona apical del filidio;  e. Filidios; f. Células mediales de la lámina";Ussher 2003;Ussher & Perdomo 0008-336 (MERC)
