Imagen;Descripción;Autor;Colección
Grohus001;Hábito;Delgado et al 2012;vlv0311/05 (MERC)
Grohus002;Células medias de la lámina;Delgado et al 2012;vlv0311/05 (MERC)
Grohus003;Filidio;Delgado et al 2012;vlv0311/05 (MERC)
Grohus004;Esporofito;Delgado et al 2012;vlv0311/05 (MERC)
Grohus005;Detalle de la caliptra;Delgado et al 2012;vlv0311/05 (MERC)
Grohus006;Ramas con innovaciones;Delgado et al 2012;vlv0311/05 (MERC)
