Imagen;Descripcion;Autor;Coleccion
Lepvitsul001;Habito;Ussher 2003;Ussher et al. 9903-97 (MERC)
Lepvitsul002;Rama;Ussher 2003;Ussher et al. 9903-97 (MERC)
Lepvitsul003;"Leptodontium  viticulosoides  (P. Beauv.)  Wijk  &  Margad.  var.  sulphureum a. Hábito; b. Rama";Ussher 2003;Ussher et al. 9903-97 (MERC)
