Imagen;Descripcion;Autor;Coleccion
Rhinov001;Disposición de los filidios en el caulidio;Ussher 2003;Ussher & León 9906-229 (MERC)
Rhinov002;Filidio;Ussher 2003;Ussher & León 9906-229 (MERC)
Rhinov003;"Rhizogonium novae-hollandiae  (Brid.) Brid.  a. Rama; b. Filidio.";Ussher 2003;Ussher & León 9906-229 (MERC)
