Imagen;Descripción;Autor;Colección
Macpod001;Gametofito y esporofito;Ussher 2003;Ussher et al. 9902-66 (MERC)
Macpod002;Hábito;Ussher 2003;Ussher et al. 9902-66 (MERC)
Macpod003;Rama;Ussher 2003;Ussher et al. 9902-66 (MERC)
Macpod004;Filidio;Ussher 2003;Ussher et al. 9902-66 (MERC)
Macpod005;Células basales de la lámina;Ussher 2003;Ussher et al. 9902-66 (MERC)
Macpod006;Células basales tuberculadas;Ussher 2003;Ussher et al. 9902-66 (MERC)
Macpod007;Células basales tuberculadas;Ussher 2003;Ussher et al. 9902-66 (MERC)
Macpod008;Zona apical del filidio, con células abultadas;Ussher 2003;Ussher et al. 9902-66 (MERC)
Macpod009;"Macromitrium podocarpi  Müll. Hal.  a. Gametofito y esporofito; b. Hábito; c. Rama; d. Filidio; e. Zona apical del filidio con células abultadas; f. Células basales de la lámina; g. Celulas basales tuberculadas";Ussher 2003;Ussher et al. 9902-66 (MERC)
