Imagen;Descripcion;Autor;Coleccion
Cycalb001;Hábito;Ussher 2003;Ussher & Perdomo 0008-332 (MERC)
Cycalb002;Disposición de los filidios en las ramas;Ussher 2003;Ussher & Perdomo 0008-332 (MERC)
Cycalb003;Filidio;Ussher 2003;Ussher & Perdomo 0008-332 (MERC)
Cycalb004;Zona apical del filidio;Ussher 2003;Ussher & Perdomo 0008-332 (MERC)
Cycalb005;Zona basal del filidio;Ussher 2003;Ussher & Perdomo 0008-332 (MERC)
Cycalb006;Celulas mediales de la lámina;Ussher 2003;Ussher & Perdomo 0008-332 (MERC)
Cycalb007;Ápice, borde y células de la zona apical del filidio;Ussher 2003;Ussher & Perdomo 0008-332 (MERC)
Cycalb008;"Cyclodiction albicans  (Hedw.) Kuntze  a. Hábito; b. Rama; c. Filidio; d. Zona basal de los filidios; e. Zona apical del filidio; f. Células mediales de la lámina; g. Ápice, borde y células de la zona apical del filidio";Ussher 2003;Ussher & Perdomo 0008-332 (MERC)
