Imagen;Descripcion;Autor;Coleccion
Hypama001;Hábito;Delgado & León 2013;J.Delgado01/2012-01 (MERC)
Hypama002;Filidio;Delgado & León 2013;J.Delgado01/2012-01 (MERC)
Hypama003;Células medias del filidio;Delgado & León 2013;J.Delgado01/2012-01 (MERC)
Hypama004;Base del filidio;Delgado & León 2013;J.Delgado01/2012-01 (MERC)
Hypama005;Ápice del filidio;Delgado & León 2013;J.Delgado01/2012-01 (MERC)
Hypama006;Detalle del ápice de la lámina;Delgado & León 2013;J.Delgado01/2012-01 (MERC)
Hypama007;Células alares de la lámina;Delgado & León 2013;J.Delgado01/2012-01 (MERC)
