Imagen;Descripcion;Autor;Coleccion 
Semchl001;Gametofito y esporofito;Ussher 2003;Ussher et al. 9902-52 (MERC)
Semchl002;Rama;Ussher 2003;Ussher et al. 9902-52 (MERC)
Semchl003;Cápsula;Ussher 2003;Ussher et al. 9902-52 (MERC)
Semchl004;Filidio;Ussher 2003;Ussher et al. 9902-52 (MERC)
Semchl005;Zona basal del filidio, células alares y células de la inserción de la lámina;Ussher 2003;Ussher et al. 9902-52 (MERC)
Semchl006;"Sematophyllum chlorocormum (Müll. Hal.) W.R. Buck, S.P. Churchill & I. Sastre.  a. Hábito; b. Gametofito y esporofito; c. Esporofito; d. Rama; e. Zona basal del filidio, células alares y células de la inserción de la lámina; f. Opérculo; g. Filidio";Ussher 2003;Ussher et al. 9902-52 (MERC)
