Imagen;Descripción;Autor;Colección
Acrest001;Filidio;Delgado & León 2013;J.Delgado04/2013-06 (MERC)
Acrest002;Cápsula con vista de dientes peristomáticos;Delgado & León 2013;J.Delgado04/2013-06 (MERC)
Acrest003;Células alares;Delgado & León 2013;J.Delgado04/2013-06 (MERC)
Acrest004;Células medias de la lámina;Delgado & León 2013;J.Delgado04/2013-06 (MERC)
Acrest005;Dientes del peristoma. Detalle;Delgado & León 2013;J.Delgado04/2013-06 (MERC)
Acrest006;Dientes del peristoma. Detalle (2);Delgado & León 2013;J.Delgado04/2013-06 (MERC)
Acrest007;Ápice del filidio;Delgado & León 2013;J.Delgado04/2013-06 (MERC)
