titulo;colacion;autor;anyo;revista;tipo;cita_corta;
Some interesting Orthotrichum records from Venezuela;17: 1-4;Lara, F., Mazimpaca, V. & Garillete, R;1999;Tropical Bryology;Nuevos reportes;Lara et al. 1999;
Bucklandiella subsecunda [new for Peru and Venezuela]. In: T. Blockeel (ed.): New national and regional bryophyte records, 23;32(2): 141;Larraín, J;2010;Journal of Bryology ;Nuevos reportes;Larraín 2010;
Nuevos registros para la brioflora de los andes venezolanos;19 (1): 1-25;León, Y., Pócs. T. & Rico, R;1996;Cryptogamie, Bryologie Liquenólogie;Nuevos reportes;León et al. 1998;
Nuevos registros de musgos (Bryophyta) para el Estado Mérida y Venezuela;3(3): 149-152;León, Y;2005;Plantula ;Nuevos reportes;León 2005;
Propuesta de algunas especies de la familia Cryphaeaceae (Musci). para la lista roja de briofitos de Sudamérica;29 (2): 1-000;León, Y;2008;Cryptogamie, Bryologie;Lista Roja;León 2008;
Catálogo MERF (en construcción);;León, Y., Ussher, M. S., Kiyota S. & Meléndez, P;2012;;Listado;León et al. 2012;
Orthotrichum spanotrichum Lewinski sp. nov. from Venezuela;18: 116-120;Lewinski, J;1993;Lindbergia;Nuevos reportes;Lewinski 1993;
Miscellaneous notes on Orthotrichum (Bryophyta) 1-3;45:49;Lewisnki, J;1994;Hattori Bot. Lab;Revisión;Lewinski 1994;
Orthotrichum pallens Brid. New to Venezuela;89(2): 163-164;Lewisnki, J;1986;Bryologist;Nuevos reportes;Lewinski 1986;
Libro rojo de briófitas de Colombia. Serie Libros Rojos de Especies Amenazadas de Colombia. Instituto de Ciencias Naturales - Universidad Nacional de Colombia y Ministerio del Medio Ambiente. Bogotá, Colombia;170 pp;Linares, E. L. & Uribe, J;2002;;Revisión;Linares y Uribe, J. 2002;
Lista preliminar de musgos del Estado Merida [Venezuela];18: 31-39;López-Figueiras, M;1976;Rev. Fac. Farmacia. ULA.;Listado;López-Figueiras 1976;
Páramos: A checklist of Plant Diversity, Geographical Distribution and Botanical Litarature ;84: 53-64;Luteyn, J. L;1999;Mem. New York Bot. Gard.;Revisión;Luteyn 1999;
Additions to Bryophyte Flora of the Neotropics;25: 7-17;Lüth, M. & Schäfer-Verwimp, A;2004;Tropical Bryology;Nuevos reportes;Lüth & Schäfer-Verwimp 2004;
The bryophyte vegetation of the forests and Paramos of Venezuela and Colombia;38: 1–63;Mägdefrau, K;1983;Nova Hedwigia;Listado;Mägdefrau, K. 1983;
The Botany of the Guayana Highland-Part IV;10(2): 1-37;Maguire, B., Wurdack, J. & Collaborators;1960;Memoirs Of The New York Botanical Garden ;Reportes;Maguire & Wurdack 1960;
Studies in Cryphaeaceae II. A review of the monotypic genus Dendropogonella Britt;76: 521–527;Manuel, M. G;1973;Bryologist ;Listado;Manuel 1973;
Musgos (Bryophyta) del Parque Nacional Avila, Sectores Cerro El Ávila - Lagunazo,Venezuela;31(2): 251-267;Morales, T;2009;Caldasia ;Nuevos reportes;Morales 2009;
