division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;Genero/Especie;nombre;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Amblystegium;varium;;;(Hedw.) Lindb.;!Amblystegium varium (Hedw.) Lindb.;Amblystegium varium;Especie;;0;;;México, Belice, Guatemala, Colombia, Ecuador, Perú, Brasil, Bolivia, Argentina, Venezuela;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Anacamptodon;cubensis;;;(Sull.) Mitt.;!Anacamptodon cubensis (Sull.) Mitt.;Anacamptodon cubensis;Especie;;0;;;Cuba, Puerto Rico, Venezuela, Perú, Brasil. Bolivia;Sur del Orinoco (Guayana);;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Calliergonella;cuspidata;;;(Hedw.) Loeske;!Calliergonella cuspidata (Hedw.) Loeske;Calliergonella cuspidata;Especie;;0;;;México,  Colombia,  Bolivia,  Chile , Perú, Estados Unidos, Europa, Centroamérica y el Caribe, Asia. También Estados Unidos,  Europa,  Centroamérica y el Caribe, Asia.;Andes;;;;;;;;Calliergonella cuspidata (Hedw.) Loeske Nombre aceptado por Hedenäs 2003 Fl. Neotrop. 89: 81.;Ussher M. S. (MERC) ;2011-10-24;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Campylophyllum;sommerfeltii;;;(Myrin) Hedenäs;!Campylophyllum sommerfeltii (Myrin) Hedenäs;Campylophyllum sommerfeltii;Especie;;0;;;México, Guatemala,  Honduras,  Haití, Rep. Dominicana,  Guadalupe, Perú,  Colombia,   Ecuador,  Perú, Bolivia, Norte América y Eurasia;Andes;;Saxícola;Roca;;;;;Campylophyllum sommerfeltii (Myrin) Hedenäs Nombre aceptado por Hedenäs 2003 FL. Neotrop. 89: 93.  . ;"Ussher, M. S.; León Y. (MERC) ";2011-10-24;En Griffin 1975 como Campylium hispidulum (Brid.) Mitt. 
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Campyliadelphus;chrysophyllus;;;(Brid.) Lange;!Campyliadelphus chrysophyllus (Brid.) Lange;Campyliadelphus chrysophyllus;Especie;;0;;;México, Guatemala, Cuba, Jamaica, Haití, República Dominicana, Colombia, Venezuela;Andes;;;;;;;;Campyliadelphus chrysophyllus (Brid.) Kanda Nombre aceptado por Hedenäs 2003 Fl. Neotrop. 89: 89. ;Ussher M. S. (MERC) ;2011-10-24;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Campyliadelphus;stellatus;;;(Hedw.) Kanda;!Campyliadelphus stellatus (Hedw.) Kanda (Hedw.) Kanda;Campyliadelphus stellatus;Variedad;;0;Am 1, Am 2, Am 4, Afr 1, As 1 As 2, As 3, As 5, Eur;;Jamaica,  Colombia,  Ecuador,  Perú,  Brasil,  México,  Argentina,  Nueva Zelanda y Australia.  Norte América, Eurasia, Norte  y NE África. Común en Norte América en zonas templadas,  Eurasia,  N y NE África.;Andes;;;;;;;;Campylium stellatum (Hedw.) C. E. O. Jensen Nombre aceptado por Hedenäs 2003 Fl. Neotrop. 89: 84. ;Ussher M. S. (MERC) ;2011-10-24;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Cratoneuron;filicinum;;;(Hedw.) Spruce;!Cratoneuron filicinum (Hedw.) Spruce;Cratoneuron filicinum;Especie;;0;Am 1, Am 2, Am 3, Am 4, Am 5, Afr 1, As 1, As 2, As 3, Austr 2, Eur;;Estados Unidos,  Europa,  Asia, Oceanía,  Chile,  Colombia,  Ecuador y Perú.;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Hamatocaulis;vernicosus;;;(Mitt.) Hedenäs;!Hamatocaulis vernicosus (Mitt.) Hedenäs;Hamatocaulis vernicosus;Especie;;0;Am 1, 2, 4, As 1, 2, Afr. 1, Eur.;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Leptodictyum;riparium;;;(Hedw.) Warnst.;!Leptodictyum riparium (Hedw.) Warnst.;Leptodictyum riparium;Especie;;0;Am 1, Am 3, Afr. 1, Afr 3, Afr 4, As 1, As 2, As 3, Austr 1, Eur.;;Brasil, Colombia, Antillas, Centroamérica, Venezuela, Hemisferio Norte. De amplia distribución en zonas templadas en hemisferio Norte;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Pseudocalliergon;trifarium;;;(F. Weber & D. Mohr) Loeske;!Pseudocalliergon trifarium (F. Weber & D. Mohr) Loeske;Pseudocalliergon trifarium;Especie;;0;Am. 1, Am 4, As 1, Eur.;;Venezuela,  Colombia, Norte América y Eurasia, Republica Dominicana. De amplia distribución en N. América y Eurasia.;Andes;;Acuático;Talud;;;;;Pseudocalliergon trifarium (F. Weber & D. Mohr) Loeske  Nombre aceptado por Hedenäs 2003 Fl. Neotrop. 89: 65.   ;Ussher M. S. (MERC) ;2011-10-24;En Griffin 1975 como Calliergon trifarium (Web & Mohr) Kindl.
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Scorpidium;scorpioides;;;(Hedw.) Limpr.;!Scorpidium scorpioides (Hedw.) Limpr.;Scorpidium scorpioides;Especie;;0;Am 1, Am 4, As 1, Eur.;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Straminergon;stramineum;;;(Dicks. ex Brid.) Hedenäs;!Straminergon stramineum (Dicks. ex Brid.) Hedenäs;Straminergon stramineum;Especie;;0;Am 1,Am 4, Am 6,  As 1, As 2, Eur.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Warnstorfia;exannulata;;;(Schimp.) Loeske;!Warnstorfia exannulata (Schimp.) Loeske;Warnstorfia exannulata;Especie;Hypnum exannulatum Schimp.;0;Am 1, Am 4, Afr 1, As 1, As 2, Eur.;;;Andes;;Acuático;Sumergido;;;;;;;;En Griffin 1975 como Drepanocladus exannulatus (Schimp.) Warnst. 
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Warnstorfia;fluitans;;;(Hedw.) Loeske;!Warnstorfia fluitans (Hedw.) Loeske;Warnstorfia fluitans;Especie;Hypnum fluitans Hedw.;0;Am 1, Am 6, Afr 1, Afr 4, As 1, As 2, As 4,  Austr 1, Austr 2, Eur.;;Venezuela,  Colombia,   Ecuador,  Perú;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Warnstorfia;luipichensis;;;(R.S. Williams) Hedenäs;!Warnstorfia luipichensis (R.S. Williams) Hedenäs;Warnstorfia luipichensis;Especie;Calliergon luipichense R. S. Williams;0;;;Venezuela,  Colombia,  Ecuador,  Bolivia;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;!;Warnstorfia;sarmentosa;;;(Wahlenb.) Hedenäs;!Warnstorfia sarmentosa (Wahlenb.) Hedenäs;Warnstorfia sarmentosa;Especie;;0;Am 1, Am 4, Am 6, As 1, Austr 2, Eur.;;"Argentina,  Bolivia,  Chile,  Colombia,  Estados Unidos,  Colombia,  Perú y Bolivia. De amplia distribución de las zonas templadas de los Hemisferios norte y sur; en el Neotrópico se conoce de las zonas elevadas de Colombia,  Perú y Bolivia. Chile";Andes;;;;;;;;;;;
Bryophyta;Andreaeopsida;;Andreaeales;Andreaeaceae;!;Andreaea;brevipes;;;Spruce;!Andreaea brevipes Spruce;Andreaea brevipes;Especie;;0;;;Bolivia,  Colombia,  Ecuador y Bolivia;Andes;;;;;;;;;;;
Bryophyta;Andreaeopsida;;Andreaeales;Andreaeaceae;!;Andreaea;nitida;;;Hook & Wilson;!Andreaea nitida Hook & Wilson;Andreaea nitida;Especie;;0;Am 4, Austr 1, Austr 2.;;Venezuela,  Colombia,  Ecuador,  Bolivia. Australia,  Bolivia,  Colombia,  Malawi,  Sudáfrica,  Nueva Zelanda;Andes;;;;;;;;;;;
Bryophyta;Andreaeopsida;;Andreaeales;Andreaeaceae;!;Andreaea;rupestris;;;Hedw.;!Andreaea rupestris Hedw.;Andreaea rupestris;Especie;;0;;;Andorra, Australia, Azores, Bolivia, Canadá, Chile, Colombia, Costa Rica, Ecuador, Finlandia, Francia, Alemania, Groenlandia, Japón, Lesoto, México, Nueva Zelanda, Noruega, Polonia, Rusia, Sudáfrica, España, Suecia, Suiza, Taiwán , Tanzania, Reino Unido, Estados Unidos, Venezuela;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Rhizogoniales;Aulacomniaceae;!;Aulacomnium;palustre;;;(Hedw.) Schwägr.;!Aulacomnium palustre (Hedw.) Schwägr.;Aulacomnium palustre;Especie;;0;Am 1, Am 4, Am 5, Am 6, Afr 1, Afr 2, As 1, As 2, As 3, As 5, Austr 1, Austr 2, Eur.;;;Andes, Sur del Orinoco (Guayana);;;;;;;;;;;En Pittier 1936 como Alaucomium venezuelanum Mitt. 
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;;Anacolia;intertexta;;;(Besch.) Paris;Anacolia intertexta (Besch.) Paris;Anacolia intertexta;Especie;;0;Am 2, Am 4, Am 6.;;;Cordillera de la Costa Central;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Anacolia;laevisphaera;;;(Taylor) Flowers;!Anacolia laevisphaera (Taylor) Flowers;Anacolia laevisphaera;Especie;;0;;;Argentina, Bolivia, Chile, Colombia, Costa Rica, Ecuador, Guatemala, México, Perú, Tanzania, Estados Unidos, Venezuela;Andes;;Saxícola;Roca;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;;Anacolia;laevisphaera;var. laevisphaera;;;Anacolia laevisphaera var. laevisphaera ;Anacolia laevisphaera var. laevisphaera;Variedad;;0;Am 1, Am 2, Am 4, Am 6, Afr 2, As 3.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;angustifolia;;;Mitt.;!Bartramia angustifolia Mitt.;Bartramia angustifolia;Especie;;0;Am 2, Am 3, Am 4.;;;Andes;;Terrestre, Saxícola;Suelo, Roca;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;brevifolia;;;Brid.;!Bartramia brevifolia Brid.;Bartramia brevifolia;Especie;;0;Am 4, Afr 4.;;Venezuela,  Colombia,  Perú,  Bolivia,  Ecuador;Andes;;;;;;;;;;;En Pittier 1936 Bartramia flavicans Mitt.
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;humilis;;;Mitt.;!Bartramia humilis Mitt.;Bartramia humilis;Especie;;0;Am 4;;Venezuela,  Ecuador,  Perú,  Bolivia;Andes;;Terrestre;Humus;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;longifolia;;;Hook;!Bartramia longifolia Hook;Bartramia longifolia;Especie;;0;Am 2, Am 3, Am 4.;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;mathewsii;;;Mitt.;!Bartramia mathewsii Mitt.;Bartramia mathewsii;Especie;;0;;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;;Bartramia;mathewsii;;subsp. mathewsii;;Bartramia mathewsii subsp. mathewsii ;Bartramia mathewsii subsp. mathewsii;Subespecie;;0;Am 4.;Venezuela, Colombia, Ecuador, Perú y Bolivia.;Venezuela,  Colombia,  Ecuador,  Perú y Bolivia;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;;Bartramia;mathewsii;;subsp. synoica;Fransén;Bartramia mathewsii subsp. synoica Fransén;Bartramia mathewsii subsp. synoica;Subespecie;;1;Am 4.;Venezuela.;Venezuela;Andes;;;;Venezuela;EN;A4c;León et al. 2013a;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;microstoma;;;Mitt.;!Bartramia microstoma Mitt.;Bartramia microstoma;Especie;;0;Am 1, Am 2.;;Venezuela, Guatemala, Bolivia;Andes;;Terrestre;Suelo;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;potosica;;;Mont.;!Bartramia potosica Mont.;Bartramia potosica;Especie;;0;Am 1, Am 2, Am 3, Am 4, Am 6.;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;strumosa;;;(Hampe) Mitt;!Bartramia strumosa (Hampe) Mitt;Bartramia strumosa;Especie;;0;Am 2, Am 4.;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Bartramia;thelioides;;;Müll. Hal.;!Bartramia thelioides Müll. Hal.;Bartramia thelioides;Especie;;0;;;Colombia y Perú;Andes;;Terrestre;Humus;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Breutelia;brittoniae;;;Renauld & Cardot;!Breutelia brittoniae Renauld & Cardot;Breutelia brittoniae;Especie;;0;Am 2, Am 4.;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Breutelia;chrysea;;;(Müll. Hal.) A. Jaeger;!Breutelia chrysea (Müll. Hal.) A. Jaeger;Breutelia chrysea;Especie;;0;Am 2, Am 4.;;;Andes;;Terrestre;Suelo;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Breutelia;dominicensis;;;E. B. Bartram;!Breutelia dominicensis E. B. Bartram;Breutelia dominicensis;Especie;;0;;;Caribe y Brasil;Sur del Orinoco (Guayana);;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Breutelia;inclinata;;;(Hampe & Lorentz) A. Jaeger, Ber. Thätigk;!Breutelia inclinata (Hampe & Lorentz) A. Jaeger, Ber. Thätigk;Breutelia inclinata;Especie;;0;Am 2, Am 4.;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Breutelia;integrifolia;;;(Taylor) A. Jaeger;!Breutelia integrifolia (Taylor) A. Jaeger;Breutelia integrifolia;Especie;;0;Am 4.;Venezuela, Colombia, Ecuador, Perú y Bolivia.;Argentina, Bolivia, Chile, Colombia, Ecuador, Perú, Venezuela;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Breutelia;karsteniana;;;(Müll. Hal.) A. Jaeger;!Breutelia karsteniana (Müll. Hal.) A. Jaeger;Breutelia karsteniana;Especie;;0;Am 4.;Buscar;Colombia,  Honduras;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Breutelia;microdonta;;;(Mitt.) Broth.;!Breutelia microdonta (Mitt.) Broth.;Breutelia microdonta;Especie;;0;Am 4, Am 5.;;Brasil;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;!;Breutelia;polygastrica;;;(Müll. Hal.) Broth.;!Breutelia polygastrica (Müll. Hal.) Broth.;Breutelia polygastrica;Especie;;0;Am 4, Am 6.;;;Andes;;;;;;;;;;;
