Bryum genucaule ;C. Müll;Rosulabryum billarderi (Schwägr.) J.R. Spence;Rosulabryum billarderi;;
Rhodobryum grandifolium; (Taylor) Schimp.;Bryum grandifolium (Tayl.) C. Muell.;Bryum grandifolium;;
Bryum lansbergii; Dozy & Molk.;Bryum apiculatum Schwägr.;Bryum apiculatum;;
Bryum leptoloma ;Müll. Hal.;Rosulabryum capillare (Hedw.) J.R. Spence;Rosulabryum capillare;;
Bryum leucurum ;Müll. Hal.;Bryum argenteum Hedw.;Bryum argenteum;;
Bryum micropendulum; Müll. Hal.;Bryum subapiculatum Hampe;Bryum subapiculatum;;
Bryum mnioides ;J.F. Gmel. ex With. ;Bryum limbatum Müll;Bryum limbatum;;
Anomobryum prostratum ;(Müll. Hal.) Besch. ;Bryum prostratum C. Muell.;Bryum prostratum;;
Bryum stenopyxis ;Müll. Hal.;Bryum argenteum Hedw.;Bryum argenteum;;
Bryum valenciae ;C. Müll.;Bryum subapiculatum Hampe;Bryum subapiculatum;;
Mielichhoferia andina ;Sull. ;Schizymenium andinum (Sull.) A.J. Shaw;Schizymenium andinum;;
Mielichhoferia bogotensis ;Hampe ;Schizymenium bogotense (Hampe) A.J. Shaw;Schizymenium bogotense;;
Mielichhoferia graciliseta ;(Hampe) Mitt. ;Schizymenium gracilisetum (Hampe) A.J. Shaw;Schizymenium gracilisetum;;
Mielichhoferia pusilla; (Hook. f. & Wilson) Mitt. ;Schizymenium pusillum (Hook. F & Wilson) A.J. Shaw;Schizymenium pusillum;;
Mniobryum wahlenbergii ;(Web & Mohr.) Jenn.;Pohlia wahlenbergii (F. Weber & D. Mohr) A.L. Andrews;Pohlia wahlenbergii;;
Pohlia spectabilis ;(C.M.) Broth.;Pohlia elongata Hedw.;Pohlia elongata;;
Rhodobryum procerum ;(Schimp.) Paris ;Bryum procerum Schimp.;Bryum procerum;;
Orthodontium fendleri ;Müll. Hal.;Orthodontium pellucens (Hook.) Bruch & Schimp.;Orthodontium pellucens;;
Webera fendleri ;(Müll. Hal.) Broth;Diphyscium fendleri Müll. Hal.;Diphyscium fendleri;;
Webera papillosa; (Müll. Hal. ex A. Jaeger) Herzog;Pohlia papillosa (A. Jaeger) Broth.;Pohlia papillosa;;
Stereophyllum cultelliforme; (Sull.) Mitt. ;Eulacophyllum cultelliforme (Sullivant) Buck & Ireland;Eulacophyllum cultelliforme;;
Calymperes donnellii ;Aust.;Calymperes afzelii Sw. Jahrb.;Calymperes afzelii;;
Calymperes richardii ;C. Müll.;Calymperes palisotii Schwägr;Calymperes palisotii;;
Syrrhopodon bernoullii ;Müll. Hal.;Syrrhopodon incompletus var. incompletus ;Syrrhopodon incompletus var. incompletus;;
Syrrhopodon compactulus ;Müll. Hal. ;Syrrhopodon prolifer Schwägr.;Syrrhopodon prolifer;;
Syrrhopodon cylindrothecius ;Müll. Hal.;Syrrhopodon prolifer var. acanthoneuros (Müll. Hal.) Müll. Hal.;Syrrhopodon prolifer var. acanthoneuros;;
Syrrhopodon epapillosus; Müll. Hal. ;Syrrhopodon prolifer var. acanthoneuros (Müll. Hal.) Müll. Hal.;Syrrhopodon prolifer var. acanthoneuros;;
Syrrhopodon macroprolifer ;Müll. Hal. ;Syrrhopodon prolifer var. acanthoneuros (Müll. Hal.) Müll. Hal.;Syrrhopodon prolifer var. acanthoneuros;;
Syrrhopodon papillosus; Müll. Hal. ;Syrrhopodon prolifer var. scaber Schwägr. (Mitt.) W. D. Reese;Syrrhopodon prolifer var. scaber;;
Syrrhopodon rubiginosus ;Mitt. ;Calymperes rubiginosum (Mitt.) W.D. Reese;Calymperes rubiginosum;;
Acrocryphaea caripensis ;(Müll. Hal.) Hampe;Schoenobryum caripense (Müll. Hal.) Manuel;Schoenobryum caripense;;
Acrocryphaea gardneri ;Mitt. Jaeg.;Schoenobryum concavifolium (Griff.) Gangulee;Schoenobryum concavifolium;;
Cryphaea fasciculosa ;Mitt. ;Cryphaea ramosa (Mitt.) Wilson;Cryphaea ramosa;;
Cryphaea reticulata ;Besch.;Cryphaea jamesonii Taylor;Cryphaea jamesonii;;
Cryphaea pinnata ;Schimp. ;Sphaerotheciella pinnata (Schimp.) Manuel;Sphaerotheciella pinnata;;
