Meteoriopsis remotifolia ;(Müll. Hal.) Broth.;Meteoridium remotifolium (Müll. Hal.) Manuel;Meteoridium remotifolium;;
Meteoriopsis recurvifolia ;(Hornsch.) Broth.;Zelometeorium patulum (Hook.) Manuel;Zelometeorium patulum;;
Meteoriopsis tovariensis; (Müll. Hal.) Broth.;Zelometeorium patens (Hook.) Manuel;Zelometeorium patens;;
Meteorium pseudosinuatum ;(Müll. Hal.) Broth. ;Meteorium sinuatum (Müll. Hal.) Mitt.;Meteorium sinuatum;;
Papillaria penicillata; (Dozy & Molk.) Broth.;Cryptopapillaria penicillata (Dozy & Molk.) M. Menzel;Cryptopapillaria penicillata;;
Papillaria denticulata ;(Mitt.) A. Jaeger ;Meteorium denticulatum Mitt.;Meteorium denticulatum;;
Papillaria deppei ;(Hornsch. ex Müll. Hal.) A. Jaeger  ;Meteorium deppei (Hornsch. ex Müll. Hal.) Mitt.;Meteorium deppei;;
Papillaria imponderosa ;(Taylor) Broth. ;Toloxis imponderosa (Taylor) W.R. Buck;Toloxis imponderosa;;
Papillaria nigrescens ;(Sw. ex Hedw.) Dozy & Molk. ;Meteorium nigrescens (Hedw.) Mitt.;Meteorium nigrescens;;
Papillaria pseudofunalis ;Müll. Hal.;Toloxis imponderosa (Taylor) W.R. Buck;Toloxis imponderosa;;
Papillaria subsquamatula ;Müll. Hal.;Cryptopapillaria penicillata (Dozy & Molk.) M. Menzel;Cryptopapillaria penicillata;;
Squamidium filiferum; (Müll. Hal.) Broth. ;Squamidium livens (Schwagr) Broth.;Squamidium livens;;
Squamidium rotundifolium ;(Mitt.) Broth. ;Squamidium macrocarpum (Spruce ex Mitt.) Broth.;Squamidium macrocarpum;;
Squamidium subheterocladium ;(Müll. Hal.) Broth. ;Squamidium leucotrichum (Taylor) Broth;Squamidium leucotrichum;;
Zelometeorium recurvifolium; (Hornsch.) Manuel ;Zelometeorium patulum (Hook.) Manuel;Zelometeorium patulum;;
Neckera novae-granadae ;C. Müll ;Neckera chilensis Schimp. ex Mont.;Neckera chilensis;;
Neckera lindigii; Hampe;Neckera scabridens Müll. Hal;Neckera scabridens;;
Neckera undulata ;Hedw.;Neckeropsis undulata (Hedw.) Reichardt;Neckeropsis undulata;;
Porotrichum fasciculatum ;(Sw. ex Hedw.) Mitt.;Thamnobryum fasciculatum (Hedw.) I. Sastre;Thamnobryum fasciculatum;;
Octoblepharum mittenii ;Jaeg.;Octoblepharum cocuiense Mitt.;Octoblepharum cocuiense;;
Amphidium cyathicarpum ;(Mont.) Broth.;Amphidium tortuosum (Hornsch.) Cufod;Amphidium tortuosum;;
Macromitrium mucronifolium ;(Hook. & Grev.) Schwägr.;Groutiella mucronifolia (Hook. & Grev.) H.A. Crum & Steere;Groutiella mucronifolia;;
Macromitrium paucidens; Müll. Hal;Macromitrium guatemalense Müll. Hal.;Macromitrium guatemalense;;
Macromitrium runcinatella ;Müll. Hal.;Macromitrium proliferum Mitt.;Macromitrium proliferum;;
Macromitrium serrulatum ;Mitt.;Macromitrium guatemalense Müll. Hal.;Macromitrium guatemalense;;
Macromitrium wagnerianum ;Müll. Hal.;Groutiella wagneriana (Müll. Hal.) H.A. Crum & Steere;Groutiella wagneriana;;
Zygodon fendleri ;Müll. Hal.;Zygodon reinwardtii (Hornsch.) A. Braun;Zygodon reinwardtii;;
Zygodon gymnus ;Müll. Hal.;Zygodon reinwardtii (Hornsch.) A. Braun;Zygodon reinwardtii;;
Zygodon linguiformis ;Müll. Hal.;Bryomaltaea obtusifolia (Hook.) Goffinet;Bryomaltaea obtusifolia;;
Zygodon moritzianus; Müll. Hal.;Zygodon reinwardtii (Hornsch.) A. Braun;Zygodon reinwardtii;;
Zygodon obtusifolius ;Hook;Bryomaltaea obtusifolia (Hook.) Goffinet;Bryomaltaea obtusifolia;;
Zygodon pungens ;Müll. Hal. ;Codonoblepharon pungens (Müll. Hal.) A. Jaeger;Codonoblepharon pungens;;
Drepanophyllum duidense; RS Williams;Phyllodrepanium falcifolium (Schwägr.) Crosby;Phyllodrepanium falcifolium;;
Actinodontium portoricense ;Crum & Steere;Actinodontium integrifolium (Broth.) S. P: Churchill;Actinodontium integrifolium;;
Hookeriopsis acicularis; (Mitt.) A. Jaeger ;Thamniopsis undata (Hedw.) W. R. Buck;Thamniopsis undata;;
Hookeriopsis crispa ;(C.M.) Jaeg.;Thamniopsis undata (Hedw.) W. R. Buck;Thamniopsis undata;;
Hookeriopsis falcata ;(Hook.) Jaeg.;Trachyxiphium guadalupense (Spreng. ) Buck.;Trachyxiphium guadalupense;;
Hypnella cymbifolia ;(Hampe) Jaeger;Hypnella pallescens (Hook.) A. Jaeger;Hypnella pallescens;;
Lepidopilum purpurascens ;Schimp. ex Besch. ;Lepidopilum scabrisetum (Schwägr.) Steere;Lepidopilum scabrisetum;;
Neohypnella chrysophyllopodia ;(C.M.) Bartram;Hypnella diversifolia (Mitt.) A. Jaeger;Hypnella diversifolia;;
Pilotrichum amazonum ;Mitt.;Pilotrichum evanescens (Müll. Hal.) Crosby;Pilotrichum evanescens;;
Pilotrichum densum ;(Sw. ex Hedw.) Müll. Hal.;Prionodon densus (Hedw.) Müll. Hal.;Prionodon densus;;
Schizomitrium oerstedianum; (Müll. Hal.) H.A. Crum ;Callicostella oerstediana (Müll. Hal.) A. Jaeger;Callicostella oerstediana;;
Plagiothecium standleyi ;E.B. Bartram;Plagiothecium drepanophyllum Renauld;Plagiothecium drepanophyllum;;
Plagiothecium conostegium ;Herzog.;Plagiothecium georgicoantarcticum (Müll. Hal.) Kindb.;Plagiothecium georgicoantarcticum;;
Plagiothecium schraderi; (Müll. Hal.) Kindb.;Plagiothecium novogranatense (Hampe) Mitt.;Plagiothecium novogranatense;;
Plagiothecium planissimum ;(Mitt.) E.B. Bartram ;Taxiphyllum taxirameum (Mitt.) M. Fleisch.;Taxiphyllum taxirameum;;
Catharinea oerstediana ;Müll. Hal.;Atrichum oerstedianum (W. Bartram ex Hedw.) P. Beauv.;Atrichum oerstedianum;;
Pogonatum alpiniforme ;(Cardot) E.B. Bartram ;Polytrichastrum tenellum (Müll. Hal.) G. L. Sm;Polytrichastrum tenellum;;
Pogonatum andinum; (Hampe) Mitt.;Pogonatum campylocarpon (Müll. Hal.) Mitt.;Pogonatum campylocarpon;;
Pogonatum arcuatum; Mitt.;Pogonatum campylocarpon (Müll. Hal.) Mitt.;Pogonatum campylocarpon;;
Pogonatum flexuosum ;(C. Müll) Mitt.;Pogonatum procerum (Lindb.) Schimp.;Pogonatum procerum;;
Pogonatum oligodus ;(Kunz) Mitt.;Pogonatum perichaetiale subsp. oligodus (Kunze ex Müll. Hal.) Hyvönen;Pogonatum perichaetiale subsp. oligodus;;
Pogonatum polycarpum ;Paris;Pogonatum plurisetum (Müll. Hal.) Broth.;Pogonatum plurisetum;;
Polytrichastrum alpiniforme; (Cardot) G.L. Sm. ;Polytrichastrum tenellum (Müll. Hal.) G. L. Sm;Polytrichastrum tenellum;;
Polytrichum antillarum ;Rich. In C. Müll. Syn.;Polytrichum juniperinum var. juniperinum ;Polytrichum juniperinum var. juniperinum;;
Polytrichum ericoides; Hampe;Polytrichadelphus ericoides (Hampe) Mitt.;Polytrichadelphus ericoides;;
Pogonatum andinum ;(Hampe) Mitt.;Pogonatum campylocarpon (Müll. Hal.) Mitt.;Pogonatum campylocarpon;;
Barbula cruegeri ;Sond ex C. Müll;Barbula indica (Hook.) Spreng;Barbula indica;;
Anoectangium incurvans ;(Schimp.) Bartram;Molendoa sendtneriana (Bruch & Schimp.) Limpr.;Molendoa sendtneriana;;
Barbula campylocarpa ;(Taylor) Müll. Hal. ;Didymodon taylorii R. H. Zander;Didymodon taylorii;;
Barbula cruegeri ;Sond.;Barbula indica (Hook.) Spreng;Barbula indica;;
Barbula ecuadoriensis ;Broth;Didymodon australasiae (Hook. & Grev.) R.H. Zander;Didymodon australasiae;;
Barbula inaequalifolia ;Taylor ;Bryoerythrophyllum inaequalifolium (Taylor) R. H. Zander;Bryoerythrophyllum inaequalifolium;;
Barbula inaequalifolia ;Taylor ;Bryoerythrophyllum inaequalifolium (Taylor) R. H. Zander;Bryoerythrophyllum inaequalifolium;;
Barbula indica var. indica ;(Hook.) Spreng;Barbula indica (Hook.) Spreng;Barbula indica;;
Barbula laevigata ;(Mitt.) A. Jaeger ;Didymodon laevigatus (Mitt.) R. H. Zander;Didymodon laevigatus;;
Barbula replicata ;Taylor ;Pseudocrossidium replicatum (Taylor) R. H. Zander;Pseudocrossidium replicatum;;
Barbula spiralis; Schimp. ;Pseudocrossidium replicatum (Taylor) R. H. Zander;Pseudocrossidium replicatum;;
Didymodon diaphanobasis; Cardot ;Didymodon australasiae (Hook. & Grev.) R.H. Zander;Didymodon australasiae;;
Didymodon icmadophila ;(Schimp. ex Müll. Hal.) K. Saito ;Didymodon rigidulus var. icmadophilus (Müll. Hal.) R. H. Zander;Didymodon rigidulus var. icmadophilus;;
Didymodon paramicola; (H. Rob.) O. Werner ;Kingiobryum paramicola H. Rob.;Kingiobryum paramicola;;
Hyophila arborea ;(Mitt.) A. Jaeger ;Trichostomum arboreum (Mitt.) R.H. Zander;Trichostomum arboreum;;
Hyophila microcarpa ;Broth.;Trichostomum sinaloense (E.B. Bartram) R.H. Zander;Trichostomum sinaloense;;
Hyophila tortula ;(Schwägr.) Hampe ;Hyophila involuta (Hook.) A. Jaeger;Hyophila involuta;;
Leptodontium filescens; (Hampe) Mitt. ;Leptodontium viticulosoides var. panamense (Lorentz) R.H. Zander;Leptodontium viticulosoides var. panamense;;
Leptodontium filescens; (Hampe) Mitt. ;Leptodontium flexifolium (Dicks.) Hampe;Leptodontium flexifolium;;
Leptodontium procumbens ;Müll. Hal.;Leptodontium viticulosoides var. panamense (Lorentz) R.H. Zander;Leptodontium viticulosoides var. panamense;;
Leptodontium ulocalyx; (Müll. Hal.) Mitt.;Leptodontium viticulosoides var. panamense (Lorentz) R.H. Zander;Leptodontium viticulosoides var. panamense;;
Leptodontium subgracile ;Renauld & Cardot ;Leptodontium brachyphyllum Broth. & Thér.;Leptodontium brachyphyllum;;
Leptodontium ulocalyx ;(Müll. Hal.) Mitt.;Leptodontium viticulosoides var. panamense (Lorentz) R.H. Zander;Leptodontium viticulosoides var. panamense;;
Morinia ehrenbergiana ;(C. Muell.) Ther.;Mironia ehrenbergiana (Müll. Hal.) Thér.;Mironia ehrenbergiana;;
Neohyophila sprengelii ;(Schwägr.) H.A. Crum ;Plaubelia sprengelii (Schwägr.) R. H. Zander;Plaubelia sprengelii;;
Semibarbula orientalis ;(F. Weber) Wijk & Margad. ;Barbula indica (Hook.) Spreng;Barbula indica;;
Semibarbula orientalis ;(F. Weber) Wijk & Margad. ;Barbula indica (Hook.) Spreng;Barbula indica;;
Tortula andicola ;Mont.;Syntrichia andicola (Mont.) Ochyra;Syntrichia andicola;;
Tortula goudotii ;(Hampe) Mitt. ;Syntrichia andicola (Mont.) Ochyra;Syntrichia andicola;;
Tortula mniifolia ;(Sull.) Mitt. ;Dolotortula mniifolia (Sull.) R. H. Zander;Dolotortula mniifolia;;
Trichostomopsis australasiae ;(Hook. & Grev.) H. Rob. ;Didymodon australasiae (Hook. & Grev.) R.H. Zander;Didymodon australasiae;;
Trichostomopsis umbrosa ;(Müll. Hal.) H. Rob. ;Didymodon umbrosus (Müll. Hal.) R. H. Zander;Didymodon umbrosus;;
Trichostomum cylindricum ;Hedw. ;Trichodon cylindricus (Hedw.) Schimp.;Trichodon cylindricus;;
Trichostomum duidense ;E. B. Bartram ;Trichostomum brachydontium Bruch;Trichostomum brachydontium;;
Trichostomum linealifolium; Müll. Hal.;Weissia jamaicensis (Mitt.) Grout;Weissia jamaicensis;;
Prionodon dichotomus ;Hampe;Prionodon densus (Hedw.) Müll. Hal.;Prionodon densus;;
Prionodon luteovirens ;(Taylor) Mitt. ;Prionodon densus (Hedw.) Müll. Hal.;Prionodon densus;;
Prionodon subgeniculatus ;Müll. Hal.;Prionodon densus (Hedw.) Müll. Hal.;Prionodon densus;;
Pireella fendleri; (Müll. Hal.) Cardot ;Pireella husnotiana (Besch.) Cardot;Pireella husnotiana;;
Orthostichidium guyanense ;(Mont.) Broth. ;Hildebrandtiella guyanensis (Mont.) W. R. Buck;Hildebrandtiella guyanensis;;
Orthostichidium quadrangulare; (Schwägr,) B.H. Allen & Magill;Pilotrichella quadrangularis (Schwägr.) Wijk & Margad.;Pilotrichella quadrangularis;;
Leucodontopsis geniculata ;(Mitt.) Crum & Steere;Henicodium geniculatum (Mitt.) W. R. Buck;Henicodium geniculatum;;
Dicranella venezuelana ;(Dozy & Molk.) W.R. Buck;Campylostelium venezuelanum Dozy & Molk;Campylostelium venezuelanum;;
Rhacocarpus humboldtii; (Hook.) Limdb. ;Rhacocarpus purpurascens (Brid.) Paris;Rhacocarpus purpurascens;;
Rhacocarpus rivularis ;(Müll. Hal.) Paris;Rhacocarpus purpurascens (Brid.) Paris;Rhacocarpus purpurascens;;
Cryptopodium hookeri ;Hampe;Leiomela bartramioides (Hook.) Paris;Leiomela bartramioides;;
Rhizogonium mnioides; (Hook.) Wilson;Pyrrhobryum mnioides (Hook.) Wilson;Pyrrhobryum mnioides;;
Rhizogonium spiniforme ;(Hedw.) Bruch;Pyrrhobryum spiniforme (Hedw.) Mitt.;Pyrrhobryum spiniforme;;
Rigodium gracile ;Ren. & Card.;Rigodium toxarion (Schwägr.) A. Jaeger;Rigodium toxarion;;
Rigodium solutum ;(Taylor) Paris;Rigodium toxarion (Schwägr.) A. Jaeger;Rigodium toxarion;;
Aptychella americana; (Card.) Broth.;Aptychella proligera (Broth.) Herzog;Aptychella proligera;;
Hypopterygium tamariscinum ;(Hedw.) Brid.;Canalohypopterygium tamariscinum (Hedw.) Kruijer;Canalohypopterygium tamariscinum;;
Potamium deceptivum ;Mitt. ;Colobodontium vulpinum (Mont.) S. P. Churchill & W. R. Buck;Colobodontium vulpinum;;
Potamium lonchophyllum ;(Mont.) Mitt.;Sematophyllum lonchophyllum (Mont.) J. Florsch.;Sematophyllum lonchophyllum;;
Potamium pacimoniense ;Spruce ex Mitt. ;Sematophyllum pacimoniense (Mitt.) J. Florsch.;Sematophyllum pacimoniense;;
Potamium vulpinum ;(Mont.) Mitt. ;Colobodontium vulpinum (Mont.) S. P. Churchill & W. R. Buck;Colobodontium vulpinum;;
Pterogonidium casiquiariense ;(Spruce ex Mitt.) Broth.;Pterogonidium pulchellum (Hook.) Müll. Hal.;Pterogonidium pulchellum;;
Rhaphidorrhynchium cyparissoides; (Hornsch.) Broth.;Sematophyllum cyparissoides (Hornsch.) R.S. Williams;Sematophyllum cyparissoides;;
Rhaphidorrhynchium decumbens ;(Mitt.) Broth. ;Sematophyllum decumbens Mitt.;Sematophyllum decumbens;;
Rhaphidorrhynchium decurvifolium ;(Mitt.) Broth. ;Sematophyllum decumbens Mitt.;Sematophyllum decumbens;;
Rhaphidorrhynchium erythropodium ;(Mitt.) Broth. ;Sematophyllum erythropodium Mitt.;Sematophyllum erythropodium;;
Rhaphidorrhynchium glaziovii; (Hampe) Broth. ;Trichosteleum glaziovii (Hampe) W.R. Buck;Trichosteleum glaziovii;;
Rhaphidorrhynchium subscabrum; (Müll. Hal.) Broth. ;Sematophyllum subscabrum (Müll. Hal.) Mitt.;Sematophyllum subscabrum;;
Rhaphidostegium glaziovii ;(Hampe) A. Jaeger ;Trichosteleum glaziovii (Hampe) W.R. Buck;Trichosteleum glaziovii;;
Rhaphidostegium sanguisetum ;(Müll. Hal.) Paris ;Rhaphidorrhynchium sanguisetum (Müll. Hal.) Broth.;Rhaphidorrhynchium sanguisetum;;
Rhaphidostegium trichostegum ;(Müll. Hal.) Paris ;Rhaphidorrhynchium trichostegum (Müll. Hal.) Broth.;Rhaphidorrhynchium trichostegum;;
Rhynchostegium beskeanum ;(C. Müll) Jaeg.;Steerecleus beskeanus (Müll. Hal.) H. Rob.;Steerecleus beskeanus;;
Sematophyllum admixtum ;(Sull.) Mitt. ;Sematophyllum adnatum (Michx) E. Britton;Sematophyllum adnatum;;
Sematophyllum amoenum ;(Hedw.) Mitt. ;Rhaphidorrhynchium amoenum (Hedw.) M. Fleisch.;Rhaphidorrhynchium amoenum;;
Sematophyllum caespitosum ;Mitt.;Sematophyllum subpinnatum (Brid.) Britt.;Sematophyllum subpinnatum;;
Sematophyllum cochleatum ;(Broth.) Broth. ;Sematophyllum lithophilum (Hornsch.) Ångström;Sematophyllum lithophilum;;
Sematophyllum constrictum ;Mitt.;Sematophyllum adnatum (Michx) E. Britton;Sematophyllum adnatum;;
Sematophyllum esmeraldicum ;(Müll. Hal.) Broth.;Acroporium esmeraldicum (Müll. Hal.) W. R. Buck;Acroporium esmeraldicum;;
Sematophyllum decurvifolium; Mitt.;Rhaphidorrhynchium decurvifolium (Mitt.) Broth.;Rhaphidorrhynchium decurvifolium;;
Sematophyllum loxense var. lithophilum ;(Hornsch.) Lindb.;Sematophyllum lithophilum (Hornsch.) Ångström;Sematophyllum lithophilum;;
Sematophyllum glaziovii ;(Hampe) O. Yano ;Trichosteleum glaziovii (Hampe) W.R. Buck;Trichosteleum glaziovii;;
Sematophyllum napoanum; (De Not.) Steere ;Hypnum napoanum De Not.;Hypnum napoanum;;
Sematophyllum oblique-rostratum; Mitt. ;Sematophyllum swartzii (Schwägr.) Welch & H.A. Crum;Sematophyllum swartzii;;
Sematophyllum pungens; (Hedw.) Mitt.;Acroporium pungens (Hedw.) Broth.;Acroporium pungens;;
Sematophyllum schlimii ;(Müll. Hal.) Mitt.;Trichosteleum schlimii (Müll. Hal.) R. S. Williams;Trichosteleum schlimii;;
Schraderella pungens ;Müll. Hal. ;Clastobryum pungens (Müll. Hal.) Tixier;Clastobryum pungens;;
Trichosteleum microcarpum ;(Mitt.) Broth.;Trichosteleum vincentinum (Mitt.) A. Jaeger;Trichosteleum vincentinum;;
Trichosteleum cyparissoides ;(Hornsch.) H. Rob;Sematophyllum cyparissoides (Hornsch.) R.S. Williams;Sematophyllum cyparissoides;;
Trichosteleum ambiguum ;(Schwägr.) Paris;Rhynchostegium ambiguum (Schwägr.) W.R. Buck;Rhynchostegium ambiguum;;
Sphagnum capillaceum ;(Weiss) Schrank;Sphagnum capillifolium (Ehrh.) Hedw.;Sphagnum capillifolium;;
Sphagnum rubellum ;Wilson;Sphagnum capillifolium var. tenellum (Schimp) H. A. Crum;Sphagnum capillifolium var. tenellum;;
Sphagnum capillaceum var. tenellum ;Andrews (Schimp.) ;Sphagnum capillifolium var. tenerum (Sull. & Lesq. ex Sull.) H. A. Crum;Sphagnum capillifolium var. tenerum;;
Sphagnum coryphaeum ;Warnst. ;Sphagnum meridense (Hampe) Müll. Hal.;Sphagnum meridense;;
Sphagnum derrumbense ;Warnst. ;Sphagnum perichaetiale Hampe;Sphagnum perichaetiale;;
Sphagnum erythrocalyx ;Hampe;Sphagnum perichaetiale Hampe;Sphagnum perichaetiale;;
Sphagnum flavicaule ;Warnst. ;Sphagnum meridense (Hampe) Müll. Hal.;Sphagnum meridense;;
Tayloria jamesonii ;(Taylor) Müll. Hal. ;Brachymitrion jamesonii Taylor;Brachymitrion jamesonii;;
Tayloria moritziana; Müll. Hall.;Brachymitrion moritzianum (Müll. Hal.) A.K. Kop.;Brachymitrion moritzianum;;
Tayloria moritziana var. Carbonaria; Müll. Hal.;Brachymitrion moritzianum (Müll. Hal.) A.K. Kop.;Brachymitrion moritzianum;;
Splachnum turbinatum ;Brid.;Mielichhoferia megalocarpum (Arn.) Mitt.;Mielichhoferia megalocarpum;;
Haplodontium cuspidatum ;Herzog ;Mielichhoferia cuspidata (Herzog) A. J. Shaw & H. A. Crum;Mielichhoferia cuspidata;;
Pilosium  flaccisetum ;Müll. Hal. ;Pilosium chlorophyllum (Hornsch.) C. Müller;Pilosium chlorophyllum;;
Stereophyllum cultelliforme; (Sull.) Mitt. ;Eulacophyllum cultelliforme (Sullivant) Buck & Ireland;Eulacophyllum cultelliforme;;
Stereophyllum leucostegum; (Brid.) Mitt.;Entodontopsis leucostega (Brid.) W.R. Buck & Ireland;Entodontopsis leucostega;;
Stereophyllum obtusum ;Mitt.;Entodontopsis nitens (Mitt.) W.R. Buck & R.R. Ireland;Entodontopsis nitens;;
Stereophyllum papilliferum ;Mitt.;Entodontopsis leucostega (Brid.) W.R. Buck & Ireland;Entodontopsis leucostega;;
Homalia defoliata ;(Müll. Hal.) A. Jaeger;Homalia glabella (Hedw.) Schimp.;Homalia glabella;;
Homaliodendron mohrianum ;(Müll. Hal.) M. Fleisch. ;Homaliodendron flabellatum (Sm.) M. Fleisch.;Homaliodendron flabellatum;;
Pinnatella piniformis ;(Brid.) M. Fleisch. ;Homaliodendron piniforme (Brid.) Enroth;Homaliodendron piniforme;;
Porothamnium expansum ;(Taylor) M. Fleisch. ;Porotrichum expansum (Taylor) Mitt.;Porotrichum expansum;;
Porothamnium fasciculatum ;(Hedw.) Fleisch.;Thamnobryum fasciculatum (Hedw.) I. Sastre;Thamnobryum fasciculatum;;
Porothamnium filiferum; (Mitt.) M Fleisch. ;Porotrichum filiferum Mitt.;Porotrichum filiferum;;
Porothamnium plicatulum ;Mitt. ;Porotrichum substriatum (Hampe) Mitt.;Porotrichum substriatum;;
Porotrichum cobanense  ;C. Müll;Porotrichum korthalsianum (Dozy & Molk.) Mitt.;Porotrichum korthalsianum;;
Porotrichum cobanense ;Müll. Hal;Porotrichum korthalsianum (Dozy & Molk.) Mitt.;Porotrichum korthalsianum;;
Porothamnium decompositum; (Brid.) M. Fleisch.;Homaliodendron flabellatum (Sm.) M. Fleisch.;Homaliodendron flabellatum;;
Porotrichum decompositum  ;(Brid.) Mitt. ;Homaliodendron flabellatum (Sm.) M. Fleisch.;Homaliodendron flabellatum;;
Porotrichum fasciculatum ;(Sw.) Mitt. ;Thamnobryum fasciculatum (Hedw.) I. Sastre;Thamnobryum fasciculatum;;
Porotrichum lindigii; (Hampe) Mitt. ;Porotrichodendron lindigii (Hampe) W. R. Buck;Porotrichodendron lindigii;;
Porotrichum flagelliferum ;(Hampe) Mitt. ;Porotrichum mutabile Hampe;Porotrichum mutabile;;
Porotrichum neckeraeforme; (Hampe) Mitt. ;Porotrichum lancifrons (Hampe) Mitt.;Porotrichum lancifrons;;
Porotrichum piniforme; (Brid.) Mitt.;Homaliodendron piniforme (Brid.) Enroth;Homaliodendron piniforme;;
Porotrichum superbum ;(Taylor) Hampe;Porotrichodendron superbum (Taylor) Broth.;Porotrichodendron superbum;;
Thamnium subseriatum ;Hook. (Mitt.) ;Porotrichum substriatum (Hampe) Mitt.;Porotrichum substriatum;;
Cyrto-hypnum ciliatum ;(Mitt.) S. P. Churchill & E. Linares C. ;Pelekium ciliatum (Mitt.) Touw;Pelekium ciliatum;;
Cyrto-hypnum minutulum ;(Hedw.) W.R. Buck & H.A. Crum ;Pelekium minutulum (Hedw.) Touw;Pelekium minutulum;;
Rauia firmula ;(Müll. Hal.) Broth ;Rauiella praelonga (Schimp. ex Besch.) Wijk et Margad.;Rauiella praelonga;;
Rauiella firmula; (Müll. Hal.) Wijk & Margad.;Rauiella praelonga (Schimp. ex Besch.) Wijk et Margad.;Rauiella praelonga;;
Rauiella subcatenulata ;(Schimp. Ex Besch.) Wijk & Margad.;Rauiella lagoensis (Hampe) W.R. Buck;Rauiella lagoensis;;
Thuidium acuminatum; Mitt. ;Thuidium urceolatum Lorente;Thuidium urceolatum;;
Thuidium antillarum ;Besch. ;Thuidium tomentosum Schimp & Besch;Thuidium tomentosum;;
Thuidium erectum; Duby ;Thuidium delicatulum (Hedw.) Schimp.;Thuidium delicatulum;;
Thuidium firmulum; Müll. Hal;Rauiella praelonga (Schimp. ex Besch.) Wijk et Margad.;Rauiella praelonga;;
Thuidium frontinoae; (Müll. Hal.) A. Jaeger ;Cyrto-hypnum frontinoae (Müll Hall.) S. P. Churchill & E. Linares C.;Cyrto-hypnum frontinoae;;
Thuidium furfurosum ;(Hook. f. & Wilson) Reichardt ;Pelekium gratum (P. Beauv.) Touw;Pelekium gratum;;
Thuidium involvens ;(Hedw.) Mitt. ;Pelekium involvens (Hedw.) Touw;Pelekium involvens;;
Cyrtohypnum involvens; (Hedw.) W. R. Buck & H. A. Crum ;Pelekium involvens (Hedw.) Touw;Pelekium involvens;;
Thuidium minutulum ;(Hedw.) B.S.G.;Pelekium minutulum (Hedw.) Touw;Pelekium minutulum;;
Thuidium muricatulum ;(Hampe) Jaeg.;Pelekium muricatulum (Hampe) Touw;Pelekium muricatulum;;
Thuidium pauperum ;(G. Müll.) Mitt. ;Pelekium minutulum (Hedw.) Touw;Pelekium minutulum;;
Thuidium pusillum ;Mitt.;Pelekium muricatulum (Hampe) Touw;Pelekium muricatulum;;
Thuidium scabrosulum ;Mitt. ;Pelekium scabrosulum (Mitt.) Touw;Pelekium scabrosulum;;
Thuidium siphotheca; (Müll. Hal.) A. Jaeger;Pelekium siphotheca (Müll. Hal.) Touw;Pelekium siphotheca;;
Entodon squarrosus ;(Hampe) Mitt. ;Erythrodontium squarrosum (Hampe) Par.;Erythrodontium squarrosum;;
Erythrodontium brasiliense ;(Hampe) Paris;Erythrodontium longisetum (Hook.) Par.;Erythrodontium longisetum;;
Erythrodontium cylindricaule ;(Müll. Hal.) Müll. Hal. ;Erythrodontium longisetum (Hook.) Par.;Erythrodontium longisetum;;
Erythrodontium pallidissimum ;(Müll. Hal.) Paris;Platygyriella densa (Hook.) W. R: Buck;Platygyriella densa;;
Ceratodon stenocarpus ;Bruch & Schimp. Ex C. Müll;Ceratodon purpureus subsp. stenocarpus (Bruch & Schimp.) Dixon;Ceratodon purpureus subsp. stenocarpus;;
Ceratodon venezuelensis ;C. Müll;Ceratodon purpureus subsp. stenocarpus (Bruch & Schimp.) Dixon;Ceratodon purpureus subsp. stenocarpus;;
