Imagen;Descripcion;Autor;Coleccion
Leualb001;Corte transversal de la lámina del filidio en la zona de inserción;Ussher 2003;Ussher et al. 9903-72 (MERC)
Leualb002;"Leucobruym albidum (Brid. ex. P. Beauv.) Lindb. a. Corte transversal de la zona basal del filidio; b. Corte transversal de la lámina en la zona de la inserción.";Ussher 2003;Ussher et al. 9903-72 (MERC)
