Imagen;Descripción;Autor;Colección
Fispol001;Zona apical de la rama;Ussher 2003;Ussher et al. 9902-42 (MERC)
Fispol002;Gametofito;Ussher 2003;Ussher et al. 9902-42 (MERC)
Fispol003;Zona apical del filidio;Ussher 2003;Ussher et al. 9902-42 (MERC)
Fispol004;Células de la lámina amplectante;Ussher 2003;Ussher et al. 9902-42 (MERC)
Fispol005;Células de la lámina;Ussher 2003;Ussher et al. 9902-42 (MERC)
Fispol006;"Fissidens polypodioides  Hedw.  a. Rama; b. Zona apical del filidio; c. Células de la lámina amplectante; d. Células de la lámina.";Ussher 2003;Ussher et al. 9902-42 (MERC)
