Imagen;Descripción;Autor;Colección
Catbre001;Hábito;Ussher 2003;Ussher et al. 9902-51 (MERC)
Catbre002;Rama;Ussher 2003;Ussher et al. 9902-51 (MERC)
Catbre003;Zona apical de la rama;Ussher 2003;Ussher et al. 9902-51 (MERC)
Catbre004;Filidios;Ussher 2003;Ussher et al. 9902-51 (MERC)
Catbre005;Zona apical del filidio;Ussher 2003;Ussher et al. 9902-51 (MERC)
Catbre006;Zona basal del filidio;Ussher 2003;Ussher et al. 9902-51 (MERC)
Catbre007;Células mediales de la lámina;Ussher 2003;Ussher et al. 9902-51 (MERC)
Catbre008;"Catagonium brevicaudatum Müll. Hal. ex. Broth.  a. Hábito; b. Rama; c. Zona apical de la rama; d. Filidios; e. Zona apical del filidio; f. Zona basal del filidio, células de la inserción; g. Células mediales de la lámina";Ussher 2003;Ussher et al. 9902-51 (MERC)
