Imagen;Descripcion;Autor;Coleccion
Pleven001;Habito;Rojas Ch. y León Y. 2013;MERF
Pleven002;Filidios de la región media del caulidio;Rojas Ch. y León Y. 2013;MERF
Pleven003;Filidios de la región inferior del caulidio;Rojas Ch. y León Y. 2013;MERF
Pleven004;Filidios periqueciales;Rojas Ch. y León Y. 2013;MERF
Pleven005;Cápsula;Rojas Ch y León Y. 2013;MERF
Pleven006;Esporas;Rojas Ch. y León Y. 2013;MERF
