Imagen;Descripcion;Autor;Coleccion
Porlon001;Hábito;Ussher 2003;Ussher et al. 9902-50 (MERC)
Porlon002;Filidio;Ussher 2003;Ussher et al. 9902-50 (MERC)
Porlon003;Margen del filidio;Ussher 2003;Ussher et al. 9902-50 (MERC)
Porlon004;Detalle de las células del filidio;Ussher 2003;Ussher et al. 9902-50 (MERC)
Porlon005;Detalle de la costa y de las células;Ussher 2003;Ussher et al. 9902-50 (MERC)
Porlon006;Disposición de los filidios ;Ussher 2003;Ussher et al. 9902-50 (MERC)
Porlon007;Disposición de los filidios ;Ussher 2003;Ussher et al. 9902-50 (MERC)
Porlon008;"Porotrichum longirostre (Hook.) Mitt.  a. Hábito; b. Rama; c. Filidio; d. Margen del filidio; e. Costa bifurcada; f. Células mediales de la lámina";Ussher 2003;Ussher et al. 9902-50 (MERC)
