Imagen;Descripción;Autor;Colección
Entbon001;Hábito;Ussher 2003;Ussher et al. 9902-63 (MERC)
Entbon002;Filidio;Ussher 2003;Ussher et al. 9902-63 (MERC)
Entbon003;Filidio;Ussher 2003;Ussher et al. 9902-63 (MERC)
Entbon004;Filidio;Ussher 2003;Ussher et al. 9902-63 (MERC)
Entbon005;Esporofitos;Ussher 2003;Ussher et al. 9902-63 (MERC)
Entbon006;"Entosthodon bonplandii (Hook.) Mitt.  a. Rama; b.  Esporofitos; c. Filidios; d. Filidio.";Ussher 2003;Ussher et al. 9902-63 (MERC)
