Imagen;Descripcion;Autor;Colección
Thuper001;Hábito;Frahm 1996;
Thuper002;Hábito;Frahm 1996;
Thuper003;Rama;Delgado & León 2013;J.Delgado04/2013-05 (MERC)
Thuper004;Parafilos en el tallo;Delgado & León 2013;J.Delgado04/2013-05 (MERC)
Thuper005;Hoja;Delgado & León 2013;J.Delgado04/2013-05 (MERC)
Thuper006;Hojas de las ramas laterales;Delgado & León 2013;J.Delgado04/2013-05 (MERC)
Thuper007;Células de las hojas de las ramas laterales;Delgado & León 2013;J.Delgado04/2013-05 (MERC)
