Imagen;Descripción;Autor;Colección
Fisserser001;Rama con seta;Ussher 2003;Ussher et al. 9905-218 (MERC)
Fisserser002;Filidio;Ussher 2003;Ussher et al. 9905-218 (MERC)
Fisserser003;Cápsula;Ussher 2003;Ussher et al. 9905-218 (MERC)
Fisserser004;Cápsula, peristoma con dientes divididos y esporas;Ussher 2003;Ussher et al. 9905-218 (MERC)
Fisserser005;Zona apical del filidio;Ussher 2003;Ussher et al. 9905-218 (MERC)
Fisserser006;Zona basal del filidio;Ussher 2003;Ussher et al. 9905-218 (MERC)
Fisserser007;"Fissidens serratus Müll. Hal.  a. Rama con seta; b. Cápsula; c. Filidio; d. Zona apical del filidio; e. Zona basal del filidio; f. Cápsula, peristoma con dientes divididos y esporas.
";Ussher 2003;Ussher et al. 9905-218 (MERC)
