Imagen;Descripción;Autor;Colección
Ortpel001;Ramas;Ussher 2003;Ussher y León 9906-237 (MERC)
Ortpel002;Esporofitos;Ussher 2003;Ussher y León 9906-237 (MERC)
Ortpel003;Filidios;Ussher 2003;Ussher y León 9906-237 (MERC)
Ortpel004;Células mediales de la lámina;Ussher 2003;Ussher y León 9906-237 (MERC)
Ortpel005;Peristoma;Ussher 2003;Ussher y León 9906-237 (MERC)
Ortpel006;Dientes del peristoma y esporas;Ussher 2003;Ussher y León 9906-237 (MERC)
Ortpel007;"Orthodontium pellucens (Hook.) Bruch & Schimp.  a. Esporofitos; b. Filidios; c. Rama; d. y e. Peristoma; f. Dientes del peristoma y esporas;  g. Células mediales de la lámina; h. Dientes del peristoma y esporas";Ussher 2003;Ussher y León 9906-237 (MERC)
