Imagen;Descripcion;Autor;Coleccion
Dicfri001;Hábito;Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
Dicfri002;Esporofito y gametofito;Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
Dicfri003;Cápsula;Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
Dicfri004;Zona basal de la lámina;Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
Dicfri005;Células basales laterales porosas y células alares de la lámina;Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
Dicfri006;Zona apical del filidio;Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
Dicfri007;Ápice;Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
Dicfri008;Células mediales de la lámina;Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
Dicfri009;"Dicranum frigidum Müll. Hal.  a. Hábito; b. Gametofito y esporofito; c. Células basales laterales porosas y células alares de la lámina; d. Zona apical del filidio; e. Ápice; f. Zona basal del filidio; g. Células mediales de la lámina";Ussher 2003;Ussher & Aguirre 9904-145 (MERC)
