Imagen;Descripción;Autor;Colección
Cerpurste001;Sección transversal del caulidio;Delgado & León 2013;J.Delgado04/2013-03 (MERC)
Cerpurste002;Sección transversal del filidio;Delgado & León 2013;J.Delgado04/2013-03 (MERC)
Cerpurste003;Detalle de costa en sección transversal;Delgado & León 2013;J.Delgado04/2013-03 (MERC)
Cerpurste004;Células medias del filidio;Delgado & León 2013;J.Delgado04/2013-03 (MERC)
Cerpurste005;Filidio;Delgado & León 2013;J.Delgado04/2013-03 (MERC)
Cerpurste006;Sección transversal del filidio;Delgado & León 2013;J.Delgado04/2013-03 (MERC)
Cerpurste007;Esporofitos;Delgado & León 2013;J.Delgado04/2013-03 (MERC)
