Imagen;Descripción;Autor;Colección
Lepfle001;Hábito;Ussher 2003;Ussher & León 9906-251 (MERC)
Lepfle002;Ramas;Ussher 2003;Ussher & León 9906-251 (MERC)
Lepfle003;"Leptodontium flexifolium (Dicks.) Hampe  a. Hábito; b. Ramas";Ussher 2003;Ussher & León 9906-251 (MERC)
