Imagen;Descripcion;Autor;Coleccion
Camnivni001;Corte transversal de la zona basal de la lámina;Ussher 2003;Ussher & León 9906-231 (MERC)
Camnivni002;Corte transversal de la zona basal de la lámina, zona de la costa;Ussher 2003;Ussher & León 9906-231 (MERC)
Camnivni003;Corte transversal de la lámina;Ussher 2003;Ussher & León 9906-231 (MERC)
Camnivni004;Corte transversal de la lámina;Ussher 2003;Ussher & León 9906-231 (MERC)
Camnivni005;Campylopius nivalis (Brid.) Brid. var. nivalis  a. Corte transversal de la zona basal del filidio b.  Corte transversal de la zona basal del filidio, zona de la costa.;Ussher 2003;Ussher & León 9906-231 (MERC)
