Imagen;Descripcion;Autor;Coleccion
Camjam001;Ramas;Ussher 2003;Ussher & Aguirre 0009-351 (MERC)
Camjam002;Corte transversal de la lámina;Ussher 2003;Ussher & Aguirre 0009-351 (MERC)
Camjam003;Células laterales en sección transversal;Ussher 2003;Ussher & Aguirre 0009-351 (MERC)
Camjam004;Corte transversal de la lámina;Ussher 2003;Ussher & Aguirre 0009-351 (MERC)
Camjam005;Células de la costa en corte transversal;Ussher 2003;Ussher & Aguirre 0009-351 (MERC)
Camjam006;"Campylopus jamesonii  (Hook.) A. Jaeger.  a. Hábito; b. Ramas; c. Corte transversal de la zona basal del filidio; d. Células laterales en sección transversal; e. Células de la costa en corte transversal";Ussher 2003;Ussher & Aguirre 0009-351 (MERC)
