Imagen;Descripcion;Autor;Coleccion 
Brarut001;Hábito;Ussher 2003;Ussher et al. 9902-53
Brarut002;Filidio de las ramas;Ussher 2003;Ussher et al. 9902-53
Brarut003;Filidios del tallo;Ussher 2003;Ussher et al. 9902-53
Brarut004;Decurrencia, costa y zona basal del filidio del tallo;Ussher 2003;Ussher et al. 9902-53
Brarut005;Ramitas y setas;Ussher 2003;Ussher et al. 9902-53
Brarut006;Esporofitos;Ussher 2003;Ussher et al. 9902-53
Brarut007;Seta papilosa;Ussher 2003;Ussher et al. 9902-53
Brarut008;"Brachythecium rutabulum (Hedw.) Bruch, schimp. & W. Gümbel  a. Filidio de la rama; b. Filidio del caulidio; c. Hábito; d. Esporofitos; e. Ramitas y setas; f. Decurrencias, costa y zona basal del filidio del caulidio; g. Seta papilosa";Ussher 2003;Ussher et al. 9902-53
