Imagen;Descripción;Autor;Colección
Cropat001;Hábito;Ussher 2003;Ussher & Perdomo 0008-293 (MERC)
Cropat002;Disposición de los filidios en el caulidio;Ussher 2003;Ussher & Perdomo 0008-293 (MERC)
Cropat003;Propágulos en la zona ventral del caulidio;Ussher 2003;Ussher & Perdomo 0008-293 (MERC)
Cropat004;Filidios;Ussher 2003;Ussher & Perdomo 0008-293 (MERC)
Cropat005;Zona apical del filidio;Ussher 2003;Ussher & Perdomo 0008-293 (MERC)
Cropat006;"Crossomitrium patrisiae  (Brid.) Müll. Hal.  a. Hábito; b.  Propágulos en la zona ventral de los caulidios; c. Disposición de los filidios sobre el caulidio; d. Filidios; e. Zona apical del filidio; f. Rama";Ussher 2003;Ussher & Perdomo 0008-293 (MERC)
