Imagen;Descripción;Autor;Colección
Leuant001;Filidios (6-7 mm. de largo x 1,1-1,2 mm. de ancho);Ussher 2003;Ussher et al. 9901-20 (MERC)
Leuant002;Corte transversal de la zona basal de los filidios;Ussher 2003;Ussher et al. 9901-20 (MERC)
Leuant003;Detalle del corte transversal;Ussher 2003;Ussher et al. 9901-20 (MERC)
Leuant004;"Leucobryum antillarum Schimp. ex Besch. a. Filidios (6-7 mm. de largo x 1,1-1,2 mm. de ancho); b. Cortes transversales de la zona basal del filidio; c. Corte transversal de la zona basal del filidio.";Ussher 2003;Ussher et al. 9901-20 (MERC)
