Imagen;Descripción;Autor;Colección
Holfle001;Gametofito;Rojas et al 2012;P. 100 # 38 (MERC)
Holfle002;Células alares de la lámina;Rojas et al 2012;P. 100 # 38 (MERC)
Holfle003;Sección media y terminal de la lámina;Rojas et al 2012;P. 100 # 38 (MERC)
Holfle004;Ápice de la lámina;Rojas et al 2012;P. 100 # 38 (MERC)
Holfle005;Sección transversal de la lámina;Rojas et al 2012;P. 100 # 38 (MERC)
Holfle006;Detalle de la costa;Rojas et al 2012;P. 100 # 38 (MERC)
Holfle007;Células medias de la lámina;Rojas et al 2012;P. 100 # 38 (MERC)
