Imagen;Descripcion;Autor;Coleccion
Thudel001;Filidio del tallo;Ussher 2003;Ussher et al. 9901-14 (MERC)
Thudel002;Filidio del tallo;Ussher 2003;Ussher et al. 9901-14 (MERC)
Thudel003;Rama;Ussher 2003;Ussher et al. 9901-14 (MERC)
Thudel004;Rama;Ussher 2003;Ussher et al. 9901-14 (MERC)
Thudel005;Detalle de la costa;Ussher 2003;Ussher et al. 9901-14 (MERC)
Thudel006;Filidio;Ussher 2003;Ussher et al. 9901-14 (MERC)
Thudel007;Zona basal del filidio;Ussher 2003;Ussher et al. 9901-14 (MERC)
Thudel008;Detalle de las células y de la costa;Ussher 2003;Ussher et al. 9901-14 (MERC)
Thudel009;"Thuidium delicatulum (Hedw.) Schimp.  a. Rama; b. Filidio de la rama; c. Costa y células mediales de la lámina; d. Zona basal del filidio; e. Filidio del caulidio";Ussher 2003;Ussher et al. 9901-14 (MERC)
