Imagen;Descripcion;Autor;Coleccion
Bretom001;Disposición de los filidios sobre el caulidio;Ussher 2003;Ussher et al. 9905-214 (MERC)
Bretom002;Rama;Ussher 2003;Ussher et al. 9905-214 (MERC)
Bretom003;Zona apical y zona basal de los filidios;Ussher 2003;Ussher et al. 9905-214 (MERC)
Bretom004;Células basales del filidio;Ussher 2003;Ussher et al. 9905-214 (MERC)
Bretom005;Células y papilas de la zona medial del filidio;Ussher 2003;Ussher et al. 9905-214 (MERC)
Bretom006;Tomento;Ussher 2003;Ussher et al. 9905-214 (MERC)
Bretom007;"Breutelia tomentosa (Brid.) A. Jaeger  a. Disposición de los filidios sobre el caulidio; b.  Rama; c. Zona apical y zona basal de los filidios; d. Tomento; e. Rama; f. Células y papilas de la zona medial del filidio; g. Células basales, células alares y células de la inserción de la lámina";Ussher 2003;Ussher et al. 9905-214 (MERC)
