Imagen;Descripción;Autor;Colección
Bryarg001;Rama;Ussher 2003;Ussher y Aguirre 9904-121 (MERC)
Bryarg002;Disposición de los filidios sobre el caulidio;Ussher 2003;Ussher y Aguirre 9904-121 (MERC)
Bryarg003;Filidio;Ussher 2003;Ussher y Aguirre 9904-121 (MERC)
Bryarg004;"Bryum argenteum  Hedw. a. Rama; b. Zona apical del filidio; c. Filidio; d. Disposición de los filidios sobre el caulidio.";Ussher 2003;Ussher y Aguirre 9904-121 (MERC)
