Imagen;Descripcion;Autor;Coleccion
Taysca001;Filidio;Delgado et al 2012;TP 9714/AT (MERC)
Taysca002;Sección transversal de la lámina;Delgado et al 2012;TP 9714/AT (MERC)
Taysca003;Detalle de la costa, con células guía;Delgado et al 2012;TP 9714/AT (MERC)
Taysca004;Células del borde de la lámina;Delgado et al 2012;TP 9714/AT (MERC)
Taysca005;Dientes del peristoma;Delgado et al 2012;TP 9714/AT (MERC)
Taysca006;Cápsula;Delgado et al 2012;TP 9714/AT (MERC)
