Imagen;Descripción;Autor;Colección
Brygra001;Células mediales de la lámina;Ussher 2003;Ussher & León 9906-239 (MERC)
Brygra002;Filidios;Ussher 2003;Ussher & León 9906-239 (MERC)
Brygra003;Zona apical del filidio;Ussher 2003;Ussher & León 9906-239 (MERC)
Brygra004;"Bryum grandifolium  (Taylor) Müll. Hal.  a. Filidios (5-6 mm. de largo x 2,5-3 mm. de ancho); b.  Zona apical del filidio; c. Células mediales de la lámina";Ussher 2003;Ussher & León 9906-239 (MERC)
