Imagen;Descripción;Autor;Colección
Lepvitvit001;Habito;Ussher 2003;Ussher & León 9906-241 (MERC)
Lepvitvit002;Rama;Ussher 2003;Ussher & León 9906-241 (MERC)
Lepvitvit003;Corte transversal del caulidio;Ussher 2003;Ussher & León 9906-241 (MERC)
Lepvitvit004;Filidio;Ussher 2003;Ussher & León 9906-241 (MERC)
Lepvitvit005;Células mediales de la lámina;Ussher 2003;Ussher & León 9906-241 (MERC)
Lepvitvit006;Células basales de la lámina;Ussher 2003;Ussher & León 9906-241 (MERC)
Lepvitvit007;"Leptodontium  viticulosoides (P. Beauv.)  Wijk & Margad.  var.  Viticulosoides a. Hábito; b. Rama; c. Corte transversal del caulidio; d. Filidio; e. Células basales de la lámina; f. Células mediales de la lámina";Ussher 2003;Ussher & León 9906-241 (MERC)
