Imagen;Descripcion;Autor;Coleccion
Artlon001;Hábito;Ussher 2003;Ussher & Aguirre 9904-118 (MERC)
Artlon002;Gametofito y esporofito;Ussher 2003;Ussher & Aguirre 9904-118 (MERC)
Artlon003;Esporofitos;Ussher 2003;Ussher & Aguirre 9904-118 (MERC)
Artlon004;Zona basal del filidio;Ussher 2003;Ussher & Aguirre 9904-118 (MERC)
Artlon005;Ápice;Ussher 2003;Ussher & Aguirre 9904-118 (MERC)
Artlon006;Corte transversal del filidio en la zona basal;Ussher 2003;Ussher & Aguirre 9904-118 (MERC)
Artlon007;Peristoma y esporas;Ussher 2003;Ussher & Aguirre 9904-118 (MERC)
Artlon008;"Atractylocarpus longisetus (Hook.) E. B. Bartram  a. Hábito; b. Gametofito y esporofito; c. Esporofitos; d. Ápice; e. Zona basal de los filidios; f. Corte transversal del filidio en la zona basal; g. Peristoma y esporas";Ussher 2003;Ussher & Aguirre 9904-118 (MERC)
