Imagen;Descripción;Autor;Colección
Metrem001;Rama;Ussher 2003;Ussher & León 9906-242 (MERC)
Metrem002;Filidio;Ussher 2003;Ussher & León 9906-242 (MERC)
Metrem003;Base del filidio y celulas alares de la lámina ;Ussher 2003;Ussher & León 9906-242 (MERC)
Metrem004;Células mediales laterales y células del borde de la lámina;Ussher 2003;Ussher & León 9906-242 (MERC)
Metrem005;"Meteoridium remotifolium (Müll. Hal.) Manuel  a. Rama; b. Filidio; c. Base del filidio y células alares de la lámina; d. Células mediales laterales y células del borde de la lámina; e. Zona apical del filidio.";Ussher 2003;Ussher & León 9906-242 (MERC)
