Imagen;Descripcion;Autor;Coleccion
Camalb001;Corte transversal del filidio;Ussher 2003;Ussher et al. 9905-156 (MERC)
Camalb002;Campylopus albidovirens Herzog.  a. y b. Cortes transversales de la zona basal del filidio;Ussher 2003;Ussher et al. 9905-156 (MERC)
