Imagen;Descripcion;Autor;Coleccion
Caldup001;Hábito;Ussher 2003;Ussher et al. 9905-172 (MERC)
Caldup002;Filidio;Ussher 2003;Ussher et al. 9905-172 (MERC)
Caldup003;Filidio;Ussher 2003;Ussher et al. 9905-172 (MERC)
Caldup004;Disposición de los filidios en las ramas;Ussher 2003;Ussher et al. 9905-172 (MERC)
Caldup005;Zona apical del filidio;Ussher 2003;Ussher et al. 9905-172 (MERC)
Caldup006;"Calyptothecium duplicatum (Schwägr.) Steere  a. Hábito; b. Rama; c. Zona apical del filidio; d. y e. Filidios";Ussher 2003;Ussher et al. 9905-172 (MERC)
