Imagen;Descripción;Autor;Colección
Syrgau001;Hábito;Ussher 2003;Ussher et al. 9905-205 (MERC)
Syrgau002;Rama;Ussher 2003;Ussher et al. 9905-205 (MERC)
Syrgau003;Filidio;Ussher 2003;Ussher et al. 9905-205 (MERC)
Syrgau004;Zona apical del filidio;Ussher 2003;Ussher et al. 9905-205 (MERC)
Syrgau005;Zona basal del filidio(células cancelinas);Ussher 2003;Ussher et al. 9905-205 (MERC)
Syrgau006;Zona medial del filidio;Ussher 2003;Ussher et al. 9905-205 (MERC)
Syrgau007;Propágulos en el ápice de la lámina;Ussher 2003;Ussher et al. 9905-205 (MERC)
Syrgau008;"Syrropodon gaudicahudii Mont.  a. y b. Hábito; c. Zona basal del filidio(cancelinas); d. Rama; e. Filidio; f. Zona medial del filidio; g.  Zona apical del filidio; h. Propágulos en el ápice de la lámina";Ussher 2003;Ussher et al. 9905-205 (MERC)
