Imagen;Descripcion;Autor;Coleccion
Aptpro001;Hábito;Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
Aptpro002;Rama;Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
Aptpro003;Propágulos en el ápice de la rama;Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
Aptpro004;Zona apical de la rama;Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
Aptpro005;Filidio;Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
Aptpro006;Propágulo;Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
Aptpro007;Zona basal de la lámina;Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
Aptpro008;Filidios;Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
Aptpro009;"Aptychella proligera (Broth.) Herzog  a. Hábito; b. Rama; c. Propágulos en el ápice de la rama; d. Zona apical de la rama; e. Propágulo; f. Filidio; g. Filidios; h. Zona basal del filidio";Ussher 2003;Ussher & Aguirre 9904-101 (MERC)
