Imagen;Descripcion;Autor;Coleccion
Fisrig001;Zona apical del filidio;Ussher 2003;Ussher & Perdomo 0008-330 (MERC)
Fisrig002;Filidio;Ussher 2003;Ussher & Perdomo 0008-330 (MERC)
Fisrig003;Disposición de los filidios sobre las ramas;Ussher 2003;Ussher & Perdomo 0008-330 (MERC)
Fisrig004;Corte transversal del filidio;Ussher 2003;Ussher & Perdomo 0008-330 (MERC)
Fisrig005;"Fissidens rigidulus Hook. f. & Wilson  a. Rama; b. Filidio; c. Zona apical del filidio, detalle del borde, costa y células; d. Corte transversal del filidio.";Ussher 2003;Ussher & Perdomo 0008-330 (MERC)
