Imagen;Descripcion;Autor;Coleccion
Camhet001;Corte transversal del filidio;Ussher 2003;Ussher et al. 9905-191 (MERC)
Camhet002;Células de la lámina y de la costa en sección transversal;Ussher 2003;Ussher et al. 9905-191 (MERC)
Camhet003;Corte transversal del filidio;Ussher 2003;Ussher et al. 9905-191 (MERC)
Camhet004;Células de la lámina y de la costa en sección transversal;Ussher 2003;Ussher et al. 9905-191 (MERC)
Camhet005;Corte transversal del filidio;Ussher 2003;Ussher et al. 9905-191 (MERC)
Camhet006;Células de la lámina y de la costa en sección transversal;Ussher 2003;Ussher et al. 9905-191 (MERC)
Camhet007;Hábito;Frahm 1996;
Camhet008;"Campylopus heterostachys (Hampe) A. Jaeger.  a. y b. Cortes transversales de la zona basal del filidio; c. Células de la costa y de la lámina en sección transversal";Ussher 2003;Ussher et al. 9905-191 (MERC)
