Imagen;Descripción;Autor;Colección
Cambry001;Corte transversal de la zona basal del filidio  ;Ussher 2003;Ussher 0009-343 (MERC)
Cambry002;"Campylopus bryotropii J.-P. Frahm.  a. Hábito; b., c. y d. Cortes transversales de la zona basal del filidio; e. Células de la costa en sección transversal";Ussher 2003;Ussher 0009-343 (MERC)
