Imagen;Descripción;Autor;Colección 
Schcam001;Rama;Ussher 2003;Ussher et al. 9905-160 (MERC)
Schcam002;Filidios;Ussher 2003;Ussher et al. 9905-160 (MERC)
Schcam003;Células, costa y borde de la zona medial de la lámina;Ussher 2003;Ussher et al. 9905-160 (MERC)
Schcam004;Zona apical del filidio;Ussher 2003;Ussher et al. 9905-160 (MERC)
Schcam005;"Schizymenium campylocarpum (Arn. & Hook.) Shaw  a. Rama; b. Filidios; c. Células, costa y borde de la zona medial de la lámina; d. Zona apical del filidio";Ussher 2003;Ussher et al. 9905-160 (MERC)
