Imagen;Descripción;Autor;Colección
Raccri001;Hábito;Frahm 1996;
Raccri002;Hábito;Delgado & León 2013;YLV 15/2012/01 (MERC)
Raccri003;Filidio;Delgado & León 2013;YLV 15/2012/01 (MERC)
Raccri004;Ápice hialino del filidio;Delgado & León 2013;YLV 15/2012/01 (MERC)
Raccri005;Zona basal del filidio;Delgado & León 2013;YLV 15/2012/01 (MERC)
Raccri006;Corte en corte transversal del filidio;Delgado & León 2013;YLV 15/2012/01 (MERC)
Raccri007;Células mediales del filidio;Delgado & León 2013;YLV 15/2012/01 (MERC)
